id,image,text,answer,mu,mu_domain,kappa,a,b
1,./res/img/set1/set1_01.png,NA,andover,0.41002261513157895,0.3609968855277035,38,21.5,0.3514091913323654
2,./res/img/set1/set1_02.png,NA,aurora,0.31357886904761906,0.3609968855277035,42,23.5,0.3560557265508743
3,./res/img/set1/set1_03.png,NA,avon,0.37227590460526316,0.3609968855277035,38,21.5,0.3522846201846475
4,./res/img/set1/set1_04.png,NA,bancroft,0.4157169117647059,0.3609968855277035,34,19.5,0.37393219891716467
5,./res/img/set1/set1_05.png,NA,buchanan,0.3857366071428572,0.3609968855277035,35,20,0.34806341116768974
6,./res/img/set1/set1_06.png,NA,carthage,0.4016447368421053,0.3609968855277035,38,21.5,0.3360812618857937
7,./res/img/set1/set1_07.png,NA,crawford,0.4276041666666667,0.3609968855277035,42,23.5,0.4818020121256514
8,./res/img/set1/set1_08.png,NA,dixon,0.34960029069767445,0.3609968855277035,43,24,0.41551612676576144
9,./res/img/set1/set1_09.png,NA,dundee,0.272255608974359,0.3609968855277035,39,22,0.2673552684294872
10,./res/img/set1/set1_10.png,NA,edgerton,0.40994233630952387,0.3609968855277035,42,23.5,0.48376269567580493
11,./res/img/set1/set1_11.png,NA,elgin,0.3918055555555555,0.3609968855277035,45,25,0.4393418104383682
12,./res/img/set1/set1_12.png,NA,franklin,0.3712673611111111,0.3609968855277035,36,20.5,0.3216155158148872
13,./res/img/set1/set1_13.png,NA,fulton,0.36911892361111115,0.3609968855277035,36,20.5,0.358124991522895
14,./res/img/set1/set1_14.png,NA,galena,0.4111169763513514,0.3609968855277035,37,21,0.37509316934121634
15,./res/img/set1/set1_15.png,NA,glenwood,0.40355902777777786,0.3609968855277035,36,20.5,0.4139861721462679
16,./res/img/set1/set1_16.png,NA,hamilton,0.3538985906862745,0.3609968855277035,51,28,0.37840064852845434
17,./res/img/set1/set1_17.png,NA,hancock,0.35223721590909096,0.3609968855277035,33,19,0.36514652598987934
18,./res/img/set1/set1_18.png,NA,johnson,0.3280501994680851,0.3609968855277035,47,26,0.3774160214687916
19,./res/img/set1/set1_19.png,NA,lakeview,0.297783203125,0.3609968855277035,40,22.5,0.29442922782897946
20,./res/img/set1/set1_20.png,NA,leonard,0.34538517441860467,0.3609968855277035,43,24,0.3411270531942679
21,./res/img/set1/set1_21.png,NA,lyons,0.3646434294871796,0.3609968855277035,39,22,0.4496357531425284
22,./res/img/set1/set1_22.png,NA,melrose,0.37124131944444444,0.3609968855277035,45,25,0.35019154188368057
23,./res/img/set1/set1_23.png,NA,midway,0.3258762668918919,0.3609968855277035,37,21,0.32704397665487756
24,./res/img/set1/set1_24.png,NA,newtown,0.32458984375000005,0.3609968855277035,40,22.5,0.4047523422241212
25,./res/img/set1/set1_25.png,NA,parker,0.32279829545454547,0.3609968855277035,44,24.5,0.33065339521928266
26,./res/img/set1/set1_26.png,NA,sharon,0.3514252533783784,0.3609968855277035,37,21,0.3202020593591639
27,./res/img/set1/set1_27.png,NA,shelby,0.3081304505813954,0.3609968855277035,43,24,0.2934737023641896
28,./res/img/set1/set1_28.png,NA,union,0.3659412202380953,0.3609968855277035,42,23.5,0.4851256161644348
29,./res/img/set1/set1_29.png,NA,vernon,0.35109565548780486,0.3609968855277035,41,23,0.4038017607898247
30,./res/img/set1/set1_30.png,NA,viola,0.36156455592105263,0.3609968855277035,38,21.5,0.33364540702418277
